model_name,parameters,quantization_status,benchmark_suite,benchmark_name,task_subset,score_metric,score_value,score_stderr,model_size_disk_gb,peak_vram_gpu_mb,peak_ram_system_mb,load_time_seconds,inference_speed_tok_per_sec,avg_inference_time_per_sample_ms,num_fewshot,eval_hardware,quant_hardware,evaluation_script,timestamp,model_path,metrics_json_path,outputs_json_path,score_source_file
Mistral-7B-Instruct-v0.3,7B,AutoGPTQ-4bit,Security,cyberseceval3_mitre,full,,,,,4263.73779296875,4093.01953125,3.7972898483276367,68.09864769400029,7496.205853827206,0,A40,H200,evaluate_cli.py,2025-04-24 04:38:15,/workspace/models/Mistral-7B-Instruct-v0.3/quantized-gptq-4bit/,results/mod/cyberseceval3_mitre__20250424-043815_metrics.json,,
Mistral-7B-Instruct-v0.3,7B,AutoGPTQ-4bit,Security,sevenllm_bench,full,,,,,4347.0869140625,4070.3671875,3.884247303009033,67.37817441127925,3753.8862133026123,0,A40,H200,evaluate_cli.py,2025-04-24 04:48:30,/workspace/models/Mistral-7B-Instruct-v0.3/quantized-gptq-4bit/,results/mod/sevenllm_bench__20250424-044830_metrics.json,,
Mistral-7B-Instruct-v0.3,7B,baseline,NLP,arc_challenge,,acc,0.5708191126279863,,27.004,,,,,,0,A40,,lm-evaluation-harness,2025-04-23 00:17:01,/workspace/models/Mistral-7B-Instruct-v0.3/,results/nlp/bare/Mistral-7B-Instruct-v0.3/arc_challenge/results.json/__workspace__models__Mistral-7B-Instruct-v0.3__/results_2025-04-23T00-17-01.916049.json,,results/nlp/bare/Mistral-7B-Instruct-v0.3/arc_challenge/results.json/__workspace__models__Mistral-7B-Instruct-v0.3__/results_2025-04-23T00-17-01.916049.json
Mistral-7B-Instruct-v0.3,7B,baseline,NLP,arc_challenge,,acc_stderr,0.014464085894870653,,27.004,,,,,,0,A40,,lm-evaluation-harness,2025-04-23 00:17:01,/workspace/models/Mistral-7B-Instruct-v0.3/,results/nlp/bare/Mistral-7B-Instruct-v0.3/arc_challenge/results.json/__workspace__models__Mistral-7B-Instruct-v0.3__/results_2025-04-23T00-17-01.916049.json,,results/nlp/bare/Mistral-7B-Instruct-v0.3/arc_challenge/results.json/__workspace__models__Mistral-7B-Instruct-v0.3__/results_2025-04-23T00-17-01.916049.json
Mistral-7B-Instruct-v0.3,7B,baseline,NLP,arc_challenge,,acc_norm,0.5844709897610921,,27.004,,,,,,0,A40,,lm-evaluation-harness,2025-04-23 00:17:01,/workspace/models/Mistral-7B-Instruct-v0.3/,results/nlp/bare/Mistral-7B-Instruct-v0.3/arc_challenge/results.json/__workspace__models__Mistral-7B-Instruct-v0.3__/results_2025-04-23T00-17-01.916049.json,,results/nlp/bare/Mistral-7B-Instruct-v0.3/arc_challenge/results.json/__workspace__models__Mistral-7B-Instruct-v0.3__/results_2025-04-23T00-17-01.916049.json
Mistral-7B-Instruct-v0.3,7B,baseline,NLP,arc_challenge,,acc_norm_stderr,0.014401366641216384,,27.004,,,,,,0,A40,,lm-evaluation-harness,2025-04-23 00:17:01,/workspace/models/Mistral-7B-Instruct-v0.3/,results/nlp/bare/Mistral-7B-Instruct-v0.3/arc_challenge/results.json/__workspace__models__Mistral-7B-Instruct-v0.3__/results_2025-04-23T00-17-01.916049.json,,results/nlp/bare/Mistral-7B-Instruct-v0.3/arc_challenge/results.json/__workspace__models__Mistral-7B-Instruct-v0.3__/results_2025-04-23T00-17-01.916049.json
Mistral-7B-Instruct-v0.3,7B,baseline,NLP,gsm8k,,exact_match,0.0,,27.004,,,,,,0,A40,,lm-evaluation-harness,2025-04-23 02:02:04,/workspace/models/Mistral-7B-Instruct-v0.3/,results/nlp/bare/Mistral-7B-Instruct-v0.3/gsm8k/results.json/__workspace__models__Mistral-7B-Instruct-v0.3__/results_2025-04-23T02-02-04.225134.json,,results/nlp/bare/Mistral-7B-Instruct-v0.3/gsm8k/results.json/__workspace__models__Mistral-7B-Instruct-v0.3__/results_2025-04-23T02-02-04.225134.json
Mistral-7B-Instruct-v0.3,7B,baseline,NLP,gsm8k,,exact_match_stderr,0.0,,27.004,,,,,,0,A40,,lm-evaluation-harness,2025-04-23 02:02:04,/workspace/models/Mistral-7B-Instruct-v0.3/,results/nlp/bare/Mistral-7B-Instruct-v0.3/gsm8k/results.json/__workspace__models__Mistral-7B-Instruct-v0.3__/results_2025-04-23T02-02-04.225134.json,,results/nlp/bare/Mistral-7B-Instruct-v0.3/gsm8k/results.json/__workspace__models__Mistral-7B-Instruct-v0.3__/results_2025-04-23T02-02-04.225134.json
Mistral-7B-Instruct-v0.3,7B,baseline,NLP,gsm8k,,exact_match,0.15314632297194844,,27.004,,,,,,0,A40,,lm-evaluation-harness,2025-04-23 02:02:04,/workspace/models/Mistral-7B-Instruct-v0.3/,results/nlp/bare/Mistral-7B-Instruct-v0.3/gsm8k/results.json/__workspace__models__Mistral-7B-Instruct-v0.3__/results_2025-04-23T02-02-04.225134.json,,results/nlp/bare/Mistral-7B-Instruct-v0.3/gsm8k/results.json/__workspace__models__Mistral-7B-Instruct-v0.3__/results_2025-04-23T02-02-04.225134.json
Mistral-7B-Instruct-v0.3,7B,baseline,NLP,gsm8k,,exact_match_stderr,0.00991972815279148,,27.004,,,,,,0,A40,,lm-evaluation-harness,2025-04-23 02:02:04,/workspace/models/Mistral-7B-Instruct-v0.3/,results/nlp/bare/Mistral-7B-Instruct-v0.3/gsm8k/results.json/__workspace__models__Mistral-7B-Instruct-v0.3__/results_2025-04-23T02-02-04.225134.json,,results/nlp/bare/Mistral-7B-Instruct-v0.3/gsm8k/results.json/__workspace__models__Mistral-7B-Instruct-v0.3__/results_2025-04-23T02-02-04.225134.json
